Name,Tc (K),Source,Page
Cr3Te4,325.0,3,NA
Cr3Te4,325.0,2,5
Cr3Te4,309.0,3,NA
Cr3Te4,329.0,3,NA
Cr3Te4,329.0,2,5
Cr5S6,305.0,2,5
Cr5S6,613.0,2,5
Cr5S6,303.0,2,5
Cr5S6,310.0,3,NA
Cr5Te6,327.0,2,5
Cr5Te6,327.0,2,5
Cr5Te6,327.0,4 V6,260
Cr7Te8,361.0,2,5
Cr7Te8,350.0,2,5
Cr80Fe20,81.0,2,4
Cr81.2Fe81.8,50.0,2,4
Cr9Pd71Si20,60.0,2,5
CrBe12,50.0,2,4
CrBe12,50.0,2,4
CrBr3,32.844,2,4
CrBr3,36.0,2,4
CrBr3,32.56,2,4
CrBr3,37.0,2,4
CrBr3,32.5,2,4
CrBr3,37.0,3,NA
CrGe2,98.0,2,4
CrGe2,100.0,2,4
CrI3,68.0,2,4
CrMn2B4,440.0,2,4
CrMn2O4,65.0,2,4
CrNiAs,188.0,4 V6,238
CrNiAs,182.0,4 V6,238
CrNiP,146.0,4 V6,227
CrO2,408.0,3,NA
CrO2,389.0,2,4
CrO2,393.0,2,4
CrO2,405.0,3,NA
CrO2,396.0,3,NA
CrO2,398.0,3,NA
CrO2,398.0,3,NA
CrO2,399.0,3,NA
CrO2,390.0,3,NA
CrO2,399.0,2,4
CrO2,398.0,2,4
CrO2,391.0,2,4
CrO2,386.5,2,4
CrO2,378.0,2,4
CrO2,396.0,1,150
CrO2,396.0,1,377
CrO2,389.5,2,5
CrO2,393.0,2,4
CrPt3,443.0,3,NA
CrPt3,443.0,3,NA
CrS,303.0,2,5
CrS1.17,310.0,2,5
CrS1.194,305.0,2,5
CrTe,335.0,2,5
CrTe,279.0,2,5
CrTe,308.0,2,5
CrTe,329.0,2,5
CrTe,334.0,2,5
CrTe,239.0,2,5
CrTe,343.0,2,5
CrTe,340.0,2,5
CrTe,345.0,2,5
CrTe,333.0,4 V12,443
CrTe,330.0,4 V6,213
CrTe,337.0,2,5
CrTe0.5Sb0.5,220.0,2,5
CrTe0.75Sb0.25,290.0,2,5
CsFeF3,62.0,2,5
CsFeF3,60.0,2,5
CsFeF3,58.0,2,5
CsNiF3,111.0,2,5
CsNiF3,130.0,2,5
Cu0.2Mg0.8Fe2O4,983.0,2,6
Cu0.2Mg0.8Fe2O4,878.0,2,6
Cu0.2Mn0.2Zn0.6Fe2O4,339.0,2,6
Cu0.2Mn0.2Zn0.6Fe2O4,318.0,2,6
Cu0.35Mn0.65Fe2O4,608.0,2,6
Cu0.35Mn0.65Fe2O4,592.0,2,6
Cu0.3Fe0.7,505.0,3,NA
Cu0.45Ni0.55,133.0,2,6
Cu0.45Ni0.55,134.0,2,6
Cu0.4Zn0.6Fe2O4,288.0,2,6
Cu0.4Zn0.6Fe2O4,359.0,2,6
Cu0.55Ni0.45,10.0,2,6
Cu0.55Ni0.45,5.0,2,6
Cu0.5Co0.5Cr2S4,235.0,2,5
Cu0.5Fe2.5O4,630.0,4 V8,212
Cu0.5Fe2.5O4,575.0,4 V8,212
Cu0.5Fe2.5O4,623.0,2,6
Cu0.5Fe2.5O4,673.0,2,6
Cu0.5Fe2.5O4,623.0,2,6
Cu0.5Ni0.5,445.0,3,NA
Cu0.5Ni0.5,57.8,3,NA
Cu0.5Ni0.5,62.5,2,6
Cu0.5Ni0.5,38.8,2,6
Cu0.5Ni0.5,5.1,3,NA
Cu0.5Ni0.5,52.0,3,NA
Cu0.5Ni0.5,6.7,3,NA
Cu0.5Ni0.5,305.0,3,NA
Cu0.5Ni0.5,52.0,3,NA
Cu0.5Ni0.5,57.0,3,NA
Cu0.5Ni0.5,57.0,3,NA
Cu0.5Ni0.5,50.1,3,NA
Cu0.5Ni0.5,50.1,3,NA
Cu0.5Ni0.5,57.8,3,NA
Cu0.5Ni0.5,300.0,3,NA
Cu0.5Ni0.5,15.0,3,NA
Cu0.5Ni0.5,50.0,3,NA
Cu0.5Ni0.5,385.0,3,NA
Cu0.5Ni0.5,430.0,3,NA
Cu0.5Ni0.5,445.0,3,NA
Cu0.5Zn0.3Fe2.2O4,558.0,2,6
Cu0.5Zn0.3Fe2.2O4,480.0,2,6
Cu0.5Zn0.5Fe2O4,420.0,2,6
Cu0.5Zn0.5Fe2O4,346.0,2,6
Cu0.8Mg0.2Fe2O4,1023.0,2,6
Cu0.8Mg0.2Fe2O4,898.0,2,6
Cu0.8Mn0.2Fe2O4,707.0,2,6
Cu0.8Mn0.2Fe2O4,635.0,2,6
Cu0.8Zn0.2Fe2O4,525.0,2,6
Cu0.8Zn0.2Fe2O4,634.0,2,6
Cu0.9Zn0.3Fe1.8O4,573.0,2,6
Cu0.9Zn0.3Fe1.8O4,463.0,2,6
Cu1.5Mn1.5O4,80.0,2,6
Cu2.0Fe1.0O3.0F1.0,658.0,2,6
Cu24Ni76,346.0,2,6
Cu2MnAl,630.0,2,6
Cu2MnAl,583.0,2,6
Cu2MnAl,603.0,4 V4,289
Cu2MnAl,603.0,4 V4,542
Cu2MnAl,600.0,2,6
Cu2MnIn,520.0,2,6
Cu2MnIn,500.0,1,394
Cu2MnIn,500.0,2,6
Cu2MnIn,500.0,4 V4,289
Cu2MnIn,500.0,4 V4,546
Cu2MnSn,503.0,4 V4,289
Cu2MnSn,528.0,2,6
Cu56Ni44,4.2,2,6
Cu5Ce,7.1,3,NA
Cu5Tb,40.0,3,NA
Cu6Gd,20.0,3,NA
Cu6Pr,0.0,3,NA
CuCr2O4,135.0,2,5
CuCr2O4,133.0,2,5
CuCr2S4,364.0,2,5
CuCr2S4,375.0,2,5
